
lookback_quarters,threshold,exit_method,exit_param,statistic,na_allowed_pct,initial_capital,max_positions,position_size_pct,initial_value,final_value,CAGR,max_drawdown,Sharpe,win_ratio,Calmar,num_trades,start_date,end_date
20,0.1,sell_threshold,20pct,mean,0.3,10000000,200,0.005,10000000.0,66275810.331903964,0.0819897010200421,-0.23975455437711304,0.9651821252155158,0.7392290249433107,0.34197348714835857,441,2001-01-01,2025-01-01
20,0.1,sell_threshold,30pct,mean,0.3,10000000,200,0.005,10000000.0,71533007.88713399,0.08543653858977729,-0.24260696747058455,0.9677248201321439,0.7183098591549296,0.35216028410287203,355,2001-01-01,2025-01-01
20,0.1,sell_threshold,40pct,mean,0.3,10000000,200,0.005,10000000.0,76368565.38244036,0.08839893882819516,-0.2507784271793911,0.9517968732263145,0.7233333333333334,0.35249817866095845,300,2001-01-01,2025-01-01
20,0.1,sell_threshold,50pct,mean,0.3,10000000,200,0.005,10000000.0,81624105.10826194,0.09142132400929759,-0.2599829513512889,0.9415787974440346,0.7181467181467182,0.35164353483228644,259,2001-01-01,2025-01-01
20,0.1,sell_threshold,60pct,mean,0.3,10000000,200,0.005,10000000.0,87098631.66148871,0.09437745794065133,-0.2699311373238916,0.9345132243549936,0.7012448132780082,0.3496353139408566,241,2001-01-01,2025-01-01
20,0.2,holding_period,1Q,mean,0.3,10000000,200,0.005,10000000.0,27537741.752112713,0.0431105714076927,-0.24537221713606286,0.7864975207208548,0.41924351187189396,0.1756945913065096,7244,2001-01-01,2025-01-01
20,0.2,holding_period,2Q,mean,0.3,10000000,200,0.005,10000000.0,32186809.787428904,0.049912840564295236,-0.2500355903946804,0.8520374803566781,0.44729696371266353,0.1996229436197782,4051,2001-01-01,2025-01-01
20,0.1,sell_threshold,70pct,mean,0.3,10000000,200,0.005,10000000.0,88775693.70491943,0.0952474560526344,-0.2781381791638477,0.9328198069692367,0.7031963470319634,0.34244653624673843,219,2001-01-01,2025-01-01
20,0.1,sell_threshold,80pct,mean,0.3,10000000,200,0.005,10000000.0,89981148.23191264,0.0958631257594893,-0.27599139872183703,0.922053036553235,0.6956521739130435,0.3473409903476981,184,2001-01-01,2025-01-01
20,0.2,holding_period,3Q,mean,0.3,10000000,200,0.005,10000000.0,35238162.910227746,0.05388256340906428,-0.24580043150151665,0.8163407943924617,0.45773687798227675,0.2192126477562014,2934,2001-01-01,2025-01-01
20,0.2,holding_period,4Q,mean,0.3,10000000,200,0.005,10000000.0,38941779.94927567,0.058280169633947665,-0.23591696594285388,0.899679625832054,0.48590947907771137,0.24703678856256933,2342,2001-01-01,2025-01-01
20,0.2,holding_period,2Y,mean,0.3,10000000,200,0.005,10000000.0,42786663.5626206,0.062440255464801586,-0.2699168187203527,0.7768731939969992,0.5380557648831952,0.23133147375115148,1327,2001-01-01,2025-01-01
20,0.2,holding_period,3Y,mean,0.3,10000000,200,0.005,10000000.0,42477081.74926248,0.06211883722923539,-0.2986051525349872,0.742344839616085,0.5775862068965517,0.20803002460567724,928,2001-01-01,2025-01-01
20,0.2,holding_period,5Y,mean,0.3,10000000,200,0.005,10000000.0,51979082.1095432,0.07109056055374818,-0.29634365001679036,0.7468968483746672,0.630718954248366,0.2398923025673751,612,2001-01-01,2025-01-01
20,0.2,sell_threshold,10pct,mean,0.3,10000000,200,0.005,10000000.0,60847077.864582196,0.07814371432976452,-0.23000700014783795,0.9654942712872413,0.6889848812095032,0.3397449394128758,463,2001-01-01,2025-01-01
